"";"cod_mun";"PIB_PC";"PIB_total";"atvidade_economica"
"78";1300102;9549,01;192851,778;"Administração, defesa, educação e saúde públicas e seguridade social"
"79";1300144;9037,65;193459,855;"Administração, defesa, educação e saúde públicas e seguridade social"
"80";1300201;7407,49;141142,346;"Administração, defesa, educação e saúde públicas e seguridade social"
"81";1300300;8527,28;327908,129;"Administração, defesa, educação e saúde públicas e seguridade social"
"82";1300409;5784,23;160471,839;"Administração, defesa, educação e saúde públicas e seguridade social"
"83";1300508;7594,06;239531,723;"Administração, defesa, educação e saúde públicas e seguridade social"
"84";1300607;6766,77;279664,029;"Administração, defesa, educação e saúde públicas e seguridade social"
"85";1300631;7450,96;141404,411;"Administração, defesa, educação e saúde públicas e seguridade social"
"86";1300680;6794,72;125586,786;"Administração, defesa, educação e saúde públicas e seguridade social"
"87";1300706;10668,3;364599,892;"Administração, defesa, educação e saúde públicas e seguridade social"
"88";1300805;7313,77;295944,517;"Administração, defesa, educação e saúde públicas e seguridade social"
"89";1300839;11101,73;142324,128;"Administração, defesa, educação e saúde públicas e seguridade social"
"90";1300904;6646,31;102951,399;"Administração, defesa, educação e saúde públicas e seguridade social"
"91";1301001;10074,99;285494,973;"Administração, defesa, educação e saúde públicas e seguridade social"
"92";1301100;7283,11;272381,098;"Administração, defesa, educação e saúde públicas e seguridade social"
"93";1301159;10730,33;313218,245;"Agricultura, inclusive apoio à agricultura e a pós colheita"
"94";1301209;15580,35;1320621,465;"Administração, defesa, educação e saúde públicas e seguridade social"
"95";1301308;16683,01;464071,233;"Produção florestal, pesca e aquicultura"
"96";1301407;12431,91;433724,561;"Produção florestal, pesca e aquicultura"
"97";1301506;7627,76;148680,362;"Administração, defesa, educação e saúde públicas e seguridade social"
"98";1301605;8507,12;167326,633;"Administração, defesa, educação e saúde públicas e seguridade social"
"99";1301654;7088,42;115817,639;"Administração, defesa, educação e saúde públicas e seguridade social"
"100";1301704;10400,5;555210,082;"Administração, defesa, educação e saúde públicas e seguridade social"
"101";1301803;4942,15;139857,838;"Administração, defesa, educação e saúde públicas e seguridade social"
"102";1301852;14857,91;704368,885;"Administração, defesa, educação e saúde públicas e seguridade social"
"103";1301902;19817,09;1978815,238;"Demais serviços"
"104";1301951;11536,94;93772,228;"Administração, defesa, educação e saúde públicas e seguridade social"
"105";1302009;11789,2;107576,414;"Administração, defesa, educação e saúde públicas e seguridade social"
"106";1302108;14735,73;61963,725;"Administração, defesa, educação e saúde públicas e seguridade social"
"107";1302207;7145,78;99726,52;"Administração, defesa, educação e saúde públicas e seguridade social"
"108";1302306;13794,17;218278,901;"Administração, defesa, educação e saúde públicas e seguridade social"
"109";1302405;11033,02;494952,44;"Administração, defesa, educação e saúde públicas e seguridade social"
"110";1302504;15811,37;1525165,205;"Agricultura, inclusive apoio à agricultura e a pós colheita"
"111";1302553;7806,29;235921,847;"Administração, defesa, educação e saúde públicas e seguridade social"
"112";1302603;34362,71;73201651,248;"Indústrias de transformação"
"113";1302702;9065,26;495942,117;"Administração, defesa, educação e saúde públicas e seguridade social"
"114";1302801;8325,67;154282,993;"Administração, defesa, educação e saúde públicas e seguridade social"
"115";1302900;7376,44;458903,006;"Administração, defesa, educação e saúde públicas e seguridade social"
"116";1303007;6797,78;142087,206;"Administração, defesa, educação e saúde públicas e seguridade social"
"117";1303106;6427,28;234152,226;"Administração, defesa, educação e saúde públicas e seguridade social"
"118";1303205;7076,84;131530,106;"Administração, defesa, educação e saúde públicas e seguridade social"
"119";1303304;7288,37;183025,628;"Administração, defesa, educação e saúde públicas e seguridade social"
"120";1303403;9593,89;1092091,941;"Administração, defesa, educação e saúde públicas e seguridade social"
"121";1303502;7690,77;150715,977;"Administração, defesa, educação e saúde públicas e seguridade social"
"122";1303536;12865,72;444819,432;"Administração, defesa, educação e saúde públicas e seguridade social"
"123";1303569;11994,12;383823,88;"Administração, defesa, educação e saúde públicas e seguridade social"
"124";1303601;5159,77;122622,053;"Administração, defesa, educação e saúde públicas e seguridade social"
"125";1303700;7477,54;172544,337;"Administração, defesa, educação e saúde públicas e seguridade social"
"126";1303809;7037,06;313522,339;"Administração, defesa, educação e saúde públicas e seguridade social"
"127";1303908;6186,16;235364,986;"Administração, defesa, educação e saúde públicas e seguridade social"
"128";1303957;7566,82;101554,358;"Administração, defesa, educação e saúde públicas e seguridade social"
"129";1304005;10453,73;96289,267;"Administração, defesa, educação e saúde públicas e seguridade social"
"130";1304062;7255,96;461733,001;"Administração, defesa, educação e saúde públicas e seguridade social"
"131";1304104;18896,71;338817,929;"Produção florestal, pesca e aquicultura"
"132";1304203;12008,83;744799,604;"Administração, defesa, educação e saúde públicas e seguridade social"
"133";1304237;6591,02;123792,486;"Administração, defesa, educação e saúde públicas e seguridade social"
"134";1304260;13881,45;186400,125;"Agricultura, inclusive apoio à agricultura e a pós colheita"
"135";1304302;17566,03;298060,329;"Produção florestal, pesca e aquicultura"
"136";1304401;6450,77;142871,727;"Administração, defesa, educação e saúde públicas e seguridade social"
"137";1400027;14119,38;163219,997;"Administração, defesa, educação e saúde públicas e seguridade social"
"138";1400050;17453,31;278083,593;"Administração, defesa, educação e saúde públicas e seguridade social"
"139";1400100;26924,03;8939317,148;"Administração, defesa, educação e saúde públicas e seguridade social"
"140";1400159;22359,75;267087,271;"Administração, defesa, educação e saúde públicas e seguridade social"
"141";1400175;14684,91;247837,307;"Administração, defesa, educação e saúde públicas e seguridade social"
"142";1400209;16852,66;350653,267;"Administração, defesa, educação e saúde públicas e seguridade social"
"143";1400233;17175,63;163048,212;"Administração, defesa, educação e saúde públicas e seguridade social"
"144";1400282;13932,51;151293,162;"Administração, defesa, educação e saúde públicas e seguridade social"
"145";1400308;17804,2;300036,427;"Administração, defesa, educação e saúde públicas e seguridade social"
"146";1400407;14108,2;148517,063;"Administração, defesa, educação e saúde públicas e seguridade social"
"147";1400456;13880,7;171773,696;"Administração, defesa, educação e saúde públicas e seguridade social"
"148";1400472;18832,65;531363,111;"Administração, defesa, educação e saúde públicas e seguridade social"
"149";1400506;20041,66;155122,439;"Administração, defesa, educação e saúde públicas e seguridade social"
"150";1400605;15710,68;119354,056;"Administração, defesa, educação e saúde públicas e seguridade social"
"151";1400704;11847,26;116529,62;"Administração, defesa, educação e saúde públicas e seguridade social"
"152";1500107;8718,18;1337194,373;"Administração, defesa, educação e saúde públicas e seguridade social"
"153";1500131;11151,27;80634,846;"Administração, defesa, educação e saúde públicas e seguridade social"
"154";1500206;17231,44;932152,134;"Agricultura, inclusive apoio à agricultura e a pós colheita"
"155";1500305;9392,33;358261,205;"Administração, defesa, educação e saúde públicas e seguridade social"
"156";1500347;16599,28;442902,058;"Pecuária, inclusive apoio à pecuária"
"157";1500404;11027,84;609244,317;"Agricultura, inclusive apoio à agricultura e a pós colheita"
"158";1500503;20064,73;666048,822;"Indústrias de transformação"
"159";1500602;22439,9;2500590,608;"Demais serviços"
"160";1500701;7191,73;204719,825;"Administração, defesa, educação e saúde públicas e seguridade social"
"161";1500800;13523,96;6979135,032;"Demais serviços"
"162";1500859;12961,42;351202,641;"Administração, defesa, educação e saúde públicas e seguridade social"
"163";1500909;7438,97;332774,98;"Administração, defesa, educação e saúde públicas e seguridade social"
"164";1500958;9103,49;277392,523;"Administração, defesa, educação e saúde públicas e seguridade social"
"165";1501006;9074,85;144716,615;"Administração, defesa, educação e saúde públicas e seguridade social"
"166";1501105;5912,55;176241,19;"Administração, defesa, educação e saúde públicas e seguridade social"
"167";1501204;7733,49;356591,401;"Administração, defesa, educação e saúde públicas e seguridade social"
"168";1501253;23894,69;76462,995;"Pecuária, inclusive apoio à pecuária"
"169";1501303;39732,6;4815194,144;"Indústrias de transformação"
"170";1501402;20821,46;30238483,961;"Demais serviços"
"171";1501451;9163,66;158063,952;"Administração, defesa, educação e saúde públicas e seguridade social"
"172";1501501;22854,31;1393884,54;"Indústrias de transformação"
"173";1501576;9967,05;164625,752;"Administração, defesa, educação e saúde públicas e seguridade social"
"174";1501600;8603,89;136234,026;"Administração, defesa, educação e saúde públicas e seguridade social"
"175";1501709;8985,82;1115894,549;"Administração, defesa, educação e saúde públicas e seguridade social"
"176";1501725;16342,1;240049,108;"Administração, defesa, educação e saúde públicas e seguridade social"
"177";1501758;11218,3;80569,818;"Administração, defesa, educação e saúde públicas e seguridade social"
"178";1501782;9040,32;580334,384;"Administração, defesa, educação e saúde públicas e seguridade social"
"179";1501808;7440,6;743286,086;"Administração, defesa, educação e saúde públicas e seguridade social"
"180";1501907;17606,32;498804,657;"Agricultura, inclusive apoio à agricultura e a pós colheita"
"181";1501956;5709,4;188107,514;"Administração, defesa, educação e saúde públicas e seguridade social"
"182";1502004;7463,35;172477,914;"Administração, defesa, educação e saúde públicas e seguridade social"
"183";1502103;8825,69;1183524,775;"Administração, defesa, educação e saúde públicas e seguridade social"
"184";1502152;113457,46;4087531,905;"Indústrias extrativas"
"185";1502202;14405,82;967350,602;"Demais serviços"
